Niche,Warehouse_Source,Country,Tender_Count,Unique_Buyers,Median_Lean_Fit
Web accessibility remediation,TED,SWE,5,1,82.0
Small IT equipment supply,TED,TUR,5,1,82.0
Event audiovisual / livestream,TenderNed,Netherlands,5,5,20.0
Web hosting / domain / SSL,TED,PRT,5,1,60.0
Digital marketing / SEO / campaigns,TED,MKD,5,1,20.0
Transcription / minutes,TED,HUN,5,1,90.0
Animation / motion design,Quebec,Canada - Quebec,5,5,82.0
Signage / wayfinding / vinyl,TED,FIN,5,2,20.0
AI chatbot / assistant,TED,CZE,5,2,74.0
Illustration / infographics,TED,ITA,5,1,74.0
Subtitles / captions,TenderNed,Netherlands,5,4,82.0
Brochure / flyer / poster printing,TED,MT,4,3,74.0
CMS development / migration,TED,EST,4,1,60.0
Workflow automation / RPA,TED,PRT,4,1,74.0
Newsletter / magazine production,United Kingdom,United Kingdom,4,4,15.0
Web hosting / domain / SSL,TED,MKD,4,1,67.0
Cataloguing / indexing / metadata,Quebec,Canada - Quebec,4,2,15.0
Signage / wayfinding / vinyl,TED,GR,4,4,40.0
Social media content production,TED,CZ,4,3,20.0
Website maintenance / content updates,Germany,Germany,4,2,67.0
Document digitization / scanning,TED,MRT,4,1,92.0
Brochure / flyer / poster printing,TED,HR,4,4,66.0
Labels / stickers / QR materials,Ireland,Ireland,4,3,15.0
Transcription / minutes,TED,AT,4,4,90.0
Website design / redesign,TED,SVK,4,2,88.0
Small IT equipment supply,TED,FI,4,3,78.0
Video editing / post-production,TED,NOR,4,1,51.0
Transcription / minutes,TED,CZ,4,4,90.0
Web hosting / domain / SSL,TED,CZ,4,2,70.0
Transcription / minutes,TED,MKD,4,1,90.0
Office / presentation equipment supply,Belgium,BE,4,4,
Website design / redesign,TED,HUN,4,2,88.0
Website maintenance / content updates,TED,SWE,4,1,82.0
Copywriting / editorial content,TED,ITA,4,1,20.0
Labels / stickers / QR materials,TED,NO,4,3,82.0
Workflow automation / RPA,TED,RO,4,4,74.0
Video production,TED,MLT,4,1,82.0
Transcription / minutes,TED,LTU,4,1,90.0
Subtitles / captions,Germany,Germany,4,0,90.0
Small IT equipment supply,TED,BA,4,2,20.0
Data entry / back-office processing,Belgium,BE,4,3,
Document digitization / scanning,TED,GR,4,4,92.0
Interpretation services,TED,CHE,4,1,20.0
Voice-over / narration / audio editing,TED,ROU,4,2,82.0
Digital marketing / SEO / campaigns,TED,SWE,4,1,40.0
Document digitization / scanning,TED,ES,4,3,92.0
Digital marketing / SEO / campaigns,TED,NOR,4,1,76.0
Web accessibility remediation,United Kingdom,United Kingdom,4,4,15.0
Newsletter / magazine production,France,France,4,4,82.0
Digital marketing / SEO / campaigns,TED,DNK,4,1,74.0
Online forms / lightweight portals,TED,GRC,4,2,60.0
Small IT equipment supply,TED,LTU,4,1,40.0
Brochure / flyer / poster printing,TED,SVK,4,1,66.0
Transcription / minutes,TED,SVK,4,1,90.0
Signage / wayfinding / vinyl,TED,NO,4,3,71.0
Transcription / minutes,TED,EST,4,1,90.0
Presentation / template design,TED,MDA,4,1,82.0
Office / presentation equipment supply,TED,MLT,4,1,20.0
Presentation / template design,TED,BG,4,1,20.0
Proofreading / editing,Ireland,Ireland,4,4,88.0
Annual report / publication layout,Ireland,Ireland,4,3,80.0
Brochure / flyer / poster printing,TED,GR,4,4,66.0
Document digitization / scanning,TED,PT,4,3,92.0
Web accessibility remediation,TED,DNK,4,1,60.0
Copywriting / editorial content,TED,SWE,4,1,78.0
Copywriting / editorial content,TED,FIN,4,2,82.0
Website design / redesign,TED,PL,4,4,88.0
Online survey setup,Canada federal,Canada,4,3,15.0
Graphic design / layout,TED,NO,4,4,82.0
Website maintenance / content updates,TED,IT,4,4,20.0
CMS development / migration,TED,CHE,3,1,74.0
Small IT equipment supply,TED,DK,3,2,20.0
Subtitles / captions,Canada federal,Canada,3,3,88.0
Brand identity / visual identity,TED,MLT,3,1,20.0
Microsites / campaign landing pages,TED,ESP,3,1,82.0
Online forms / lightweight portals,TED,GR,3,3,60.0
CMS development / migration,TED,AUT,3,3,60.0
Small IT equipment supply,TED,SE,3,3,74.0
Brochure / flyer / poster printing,TED,SVN,3,1,66.0
Digital marketing / SEO / campaigns,TED,PRT,3,1,20.0
Interpretation services,TenderNed,Netherlands,3,1,92.0
Online forms / lightweight portals,TED,SRB,3,1,70.0
Digital marketing / SEO / campaigns,TED,ITA,3,1,20.0
Website design / redesign,TED,TUR,3,1,88.0
Voice-over / narration / audio editing,Ireland,Ireland,3,3,15.0
Online forms / lightweight portals,TED,IT,3,2,20.0
E-learning / training content,TED,CHE,3,1,60.0
Translation / localization,TED,DNK,3,1,82.0
Brand identity / visual identity,TED,CZE,3,1,74.0
Graphic design / layout,TED,ESP,3,1,82.0
Translation / localization,TED,SWE,3,2,74.0
Document digitization / scanning,TED,GRC,3,1,92.0
Small IT equipment supply,TED,ISL,3,1,20.0
Low-code / no-code implementation,TED,LTU,3,1,74.0
E-learning / training content,TED,AUT,3,3,60.0
Brochure / flyer / poster printing,TED,LT,3,2,66.0
Web hosting / domain / SSL,TED,MLT,3,1,60.0
Small IT equipment supply,TED,HRV,3,1,20.0
Brand identity / visual identity,TED,FIN,3,1,60.0
Data cleaning / deduplication,TED,ITA,3,1,70.0
AI chatbot / assistant,TED,CHE,3,1,74.0
Illustration / infographics,Ireland,Ireland,3,3,72.0
Website maintenance / content updates,TED,DNK,3,1,74.0
Brochure / flyer / poster printing,TED,ISL,3,1,66.0
Website design / redesign,TED,BGR,3,1,88.0
Copywriting / editorial content,TED,POL,3,2,82.0
Brochure / flyer / poster printing,TED,LV,3,1,66.0
Simple API / software integration,TED,SWE,3,1,20.0
Voice-over / narration / audio editing,TED,BGR,3,1,20.0
Cataloguing / indexing / metadata,TED,DNK,3,1,74.0
Promotional merchandise / branded items,TED,NOR,3,1,20.0
Graphic design / layout,TED,ITA,3,1,20.0
Interpretation services,Germany,Germany,3,0,15.0
AI chatbot / assistant,TED,ITA,3,1,60.0
Promotional merchandise / branded items,TED,MLT,3,1,20.0
Document digitization / scanning,TED,CH,3,2,20.0
Low-code / no-code implementation,TED,PT,3,2,60.0
Translation / localization,TED,MKD,3,1,74.0
Website design / redesign,TED,HRV,3,1,88.0
E-learning / training content,TED,MLT,3,1,82.0
Brochure / flyer / poster printing,TED,ES,3,3,66.0
Illustration / infographics,TED,AUT,3,3,20.0
Video editing / post-production,TED,CHE,3,1,20.0
Small IT equipment supply,TED,CYP,3,1,20.0
Document digitization / scanning,TED,LU,3,3,92.0
E-learning / training content,TED,FIN,3,1,74.0
Website maintenance / content updates,Ireland,Ireland,3,3,60.0
Simple API / software integration,TED,AUT,3,3,60.0
Labels / stickers / QR materials,TED,DNK,3,1,74.0
Website design / redesign,TED,GRC,3,2,88.0
E-learning / training content,TED,RO,3,3,74.0
Web hosting / domain / SSL,TED,IS,3,2,60.0
Labels / stickers / QR materials,TED,MLT,3,2,20.0
Voice-over / narration / audio editing,TED,DNK,3,1,82.0
Low-code / no-code implementation,TED,CZE,3,3,74.0
Small IT equipment supply,TED,SRB,3,1,20.0
AI chatbot / assistant,TED,ISL,3,1,60.0
Website maintenance / content updates,TED,ESP,3,1,20.0
Workflow automation / RPA,TED,LV,3,2,20.0
Online forms / lightweight portals,TED,DK,3,3,60.0
Survey data processing / coding,TED,ITA,3,1,20.0
Website design / redesign,TED,DK,3,3,88.0
Online forms / lightweight portals,France,France,3,2,15.0
CMS development / migration,TED,FI,3,3,60.0
Social media content production,TED,ES,3,3,20.0
Signage / wayfinding / vinyl,TED,GRC,3,2,20.0
Direct mail / envelope / routing,Canada federal,Canada,3,1,15.0
Simple API / software integration,TED,EST,3,1,20.0
Website design / redesign,TED,SI,3,3,88.0
Event audiovisual / livestream,Belgium,BE,3,3,
Small IT equipment supply,TED,RS,3,2,70.0
Cataloguing / indexing / metadata,Belgium,BE,3,3,
Small IT equipment supply,TED,EST,3,1,60.0
Small IT equipment supply,TED,LU,3,3,20.0
Small IT equipment supply,TED,MD,3,2,20.0
Direct mail / envelope / routing,Ireland,Ireland,2,2,15.0
Digital marketing / SEO / campaigns,TED,PT,2,2,51.0
Website design / redesign,TED,LU,2,2,88.0
Copywriting / editorial content,TED,AUT,2,2,82.0
Website design / redesign,TED,EST,2,1,88.0
Workflow automation / RPA,TED,AUT,2,2,67.0
AI chatbot / assistant,Ireland,Ireland,2,2,43.5
Photography,TED,FIN,2,1,92.0
Document digitization / scanning,TED,SI,2,2,92.0
Simple API / software integration,TED,GRC,2,1,60.0
Survey data processing / coding,TED,DNK,2,1,51.0
Document digitization / scanning,TED,CZ,2,2,92.0
Transcription / minutes,TED,GRC,2,1,86.0
Graphic design / layout,TED,SVK,2,1,51.0
AI chatbot / assistant,TED,AUT,2,2,67.0
Digital marketing / SEO / campaigns,TED,CYP,2,1,20.0
Document digitization / scanning,TED,CM,2,1,76.0
Website maintenance / content updates,TED,ROU,2,1,74.0
Website maintenance / content updates,TED,CZE,2,1,60.0
Web hosting / domain / SSL,TED,DK,2,2,20.0
Proofreading / editing,TED,MKD,2,1,90.0
Low-code / no-code implementation,TED,CHE,2,1,67.0
Website design / redesign,TED,BG,2,2,88.0
Newsletter / magazine production,TED,AUT,2,2,47.0
Translation / localization,Ireland,Ireland,2,1,15.0
Voice-over / narration / audio editing,Canada federal,Canada,2,1,15.0
Brochure / flyer / poster printing,TED,CH,2,2,66.0
Online forms / lightweight portals,TED,CYP,2,1,71.0
Brochure / flyer / poster printing,TED,FI,2,2,66.0
Survey data processing / coding,United Kingdom,United Kingdom,2,2,15.0
Direct mail / envelope / routing,TenderNed,Netherlands,2,2,81.0
Desk research / information collection,TenderNed,Netherlands,2,2,74.0
Online survey setup,TED,FIN,2,2,51.0
Video editing / post-production,United Kingdom,United Kingdom,2,2,15.0
Document digitization / scanning,TED,MNE,2,1,92.0
Brand identity / visual identity,TED,GRC,2,1,51.0
Document digitization / scanning,TED,PL,2,2,92.0
CMS development / migration,Ireland,Ireland,2,2,66.0
Illustration / infographics,Canada federal,Canada,2,2,15.0
Website design / redesign,TED,ES,2,2,88.0
Website maintenance / content updates,Canada federal,Canada,2,2,15.0
Animation / motion design,Belgium,BE,2,2,
Data cleaning / deduplication,Belgium,BE,2,2,
Online survey setup,Germany,Germany,2,0,42.5
Video production,Germany,Germany,2,0,82.0
Document digitization / scanning,TED,UA,2,2,92.0
Website design / redesign,TED,LTU,2,1,88.0
Social media content production,TED,PL,2,2,40.0
Web hosting / domain / SSL,TED,GRC,2,1,60.0
Brand identity / visual identity,TED,AT,2,2,20.0
Simple API / software integration,TED,ROU,2,1,74.0
Document digitization / scanning,TED,HU,2,2,92.0
Data entry / back-office processing,TED,POL,2,1,82.0
Brand identity / visual identity,TED,ROU,2,1,43.0
Transcription / minutes,TED,ISL,2,2,90.0
Data cleaning / deduplication,TED,ESP,2,1,82.0
Copywriting / editorial content,TED,EST,2,1,20.0
Graphic design / layout,TED,PRT,2,1,82.0
Translation / localization,TED,NO,2,2,20.0
Illustration / infographics,TED,ROU,2,1,78.0
Presentation / template design,TED,SWE,2,1,40.0
Web accessibility remediation,TED,ESP,2,1,60.0
Web hosting / domain / SSL,TED,SVN,2,1,60.0
Website design / redesign,TED,LVA,2,1,88.0
Web hosting / domain / SSL,TED,RO,2,2,78.0
Graphic design / layout,TED,HUN,2,1,74.0
Social media content production,TED,NOR,2,1,74.0
Labels / stickers / QR materials,TED,CYP,2,1,20.0
Workflow automation / RPA,TED,CZ,2,2,47.0
Office / presentation equipment supply,TED,GRC,2,1,82.0
Brand identity / visual identity,TED,IT,2,2,51.0
Online forms / lightweight portals,TED,HR,2,2,67.0
Presentation / template design,TenderNed,Netherlands,2,2,56.0
Document digitization / scanning,TED,BEN,2,1,92.0
Website design / redesign,TED,CH,2,1,88.0
Website design / redesign,TED,FI,2,2,88.0
Low-code / no-code implementation,TED,ROU,2,1,74.0
AI chatbot / assistant,TED,FI,2,2,67.0
Copywriting / editorial content,TED,NOR,2,1,51.0
Brochure / flyer / poster printing,TED,MDA,2,1,66.0
Workflow automation / RPA,Canada federal,Canada,2,1,72.0
Signage / wayfinding / vinyl,TED,PL,2,2,20.0
Proofreading / editing,TED,ESP,2,1,90.0
Data cleaning / deduplication,TED,FIN,2,1,78.0
Proofreading / editing,TED,AUT,2,1,51.0
Brand identity / visual identity,TED,ES,2,2,20.0
Online forms / lightweight portals,TED,AT,2,2,20.0
Office / presentation equipment supply,TED,LUX,2,1,82.0
AI chatbot / assistant,Quebec,Canada - Quebec,2,2,78.0
Newsletter / magazine production,Quebec,Canada - Quebec,2,2,15.0
Online forms / lightweight portals,TED,HU,2,2,20.0
Simple API / software integration,TED,POL,2,1,40.0
Event audiovisual / livestream,TED,BGR,2,1,20.0
Social media content production,TED,AUT,2,1,45.0
Small IT equipment supply,TED,MDA,2,1,20.0
Data cleaning / deduplication,TED,CZE,2,2,74.0
E-learning / training content,TED,DNK,2,1,20.0
E-learning / training content,TED,GRC,2,1,40.0
Data cleaning / deduplication,TED,SWE,2,1,20.0
Transcription / minutes,TED,MDA,2,1,90.0
CMS development / migration,TenderNed,Netherlands,2,2,82.0
Voice-over / narration / audio editing,TenderNed,Netherlands,2,2,82.0
Web accessibility remediation,TED,DK,2,1,60.0
Web accessibility remediation,TED,FIN,2,1,71.0
Signage / wayfinding / vinyl,TED,MKD,2,1,51.0
Signage / wayfinding / vinyl,TED,ROU,2,1,82.0
Workflow automation / RPA,TED,LUX,2,1,82.0
Simple API / software integration,TED,IT,2,2,40.0
Signage / wayfinding / vinyl,TED,CH,2,2,20.0
Low-code / no-code implementation,TED,PL,2,2,74.0
Desk research / information collection,Ireland,Ireland,2,2,15.0
Cataloguing / indexing / metadata,Ireland,Ireland,2,2,80.0
Web accessibility remediation,Ireland,Ireland,2,2,65.0
Presentation / template design,TED,POL,2,1,47.0
Website design / redesign,TED,UKR,2,1,88.0
Document digitization / scanning,TED,RE,2,2,56.0
Document digitization / scanning,TED,SVK,2,2,87.0
Signage / wayfinding / vinyl,TED,MLT,2,1,20.0
Simple API / software integration,Ireland,Ireland,2,2,43.5
Presentation / template design,TED,HUN,2,1,20.0
Website design / redesign,TED,SVN,2,1,88.0
Labels / stickers / QR materials,TED,FIN,2,2,78.0
Workflow automation / RPA,TED,PL,2,1,20.0
Digital marketing / SEO / campaigns,Canada federal,Canada,2,2,15.0
Transcription / minutes,TED,SK,2,2,90.0
Workflow automation / RPA,TED,SE,2,2,60.0
Workflow automation / RPA,TED,NO,2,2,74.0
Website maintenance / content updates,TED,CHE,2,1,47.0
Voice-over / narration / audio editing,TED,NOR,2,1,20.0
Web hosting / domain / SSL,TED,LTU,2,1,60.0
Data entry / back-office processing,TED,NO,2,2,56.0
Brochure / flyer / poster printing,TED,CYP,2,1,66.0
E-learning / training content,TED,LUX,2,1,51.0
Document digitization / scanning,TED,SRB,2,1,92.0
Translation / localization,TED,ITA,2,1,20.0
Copywriting / editorial content,TED,CZE,2,2,76.0
CMS development / migration,TED,CZE,2,1,60.0
Simple API / software integration,TED,BGR,2,1,60.0
Transcription / minutes,TED,BGR,2,1,90.0
Low-code / no-code implementation,Canada federal,Canada,2,2,15.0
Transcription / minutes,TED,LVA,2,1,90.0
Transcription / minutes,TED,CYP,2,1,90.0
Data entry / back-office processing,TED,FIN,2,1,74.0
Web hosting / domain / SSL,TED,IT,2,2,60.0
Document digitization / scanning,TED,TUR,2,1,92.0
Low-code / no-code implementation,TED,DNK,2,1,74.0
Web hosting / domain / SSL,TED,SVK,2,2,78.0
Office / presentation equipment supply,TED,NO,2,1,20.0
Desk research / information collection,TED,NOR,2,1,20.0
Signage / wayfinding / vinyl,TED,SWE,2,1,78.0
Social media content production,Canada federal,Canada,1,1,72.0
Website design / redesign,TED,TR,1,1,88.0
Signage / wayfinding / vinyl,TED,SK,1,1,82.0
Signage / wayfinding / vinyl,TED,ITA,1,1,82.0
Website design / redesign,TED,CYP,1,1,88.0
Transcription / minutes,TED,DJI,1,1,90.0
Desk research / information collection,TED,TUR,1,1,82.0
Website design / redesign,TED,PT,1,1,88.0
Low-code / no-code implementation,TED,HUN,1,1,74.0
Proofreading / editing,TED,NO,1,1,90.0
Small IT equipment supply,TED,HR,1,1,20.0
Event audiovisual / livestream,TED,NO,1,1,20.0
Photography,TED,MK,1,1,82.0
Newsletter / magazine production,TED,ITA,1,1,82.0
Online forms / lightweight portals,TED,BG,1,1,60.0
Proofreading / editing,TED,AT,1,1,82.0
Event audiovisual / livestream,TED,FIN,1,1,82.0
Small IT equipment supply,TED,GE,1,1,82.0
Copywriting / editorial content,TED,ESP,1,1,82.0
Transcription / minutes,TED,MK,1,1,90.0
Low-code / no-code implementation,TED,ES,1,1,60.0
Proofreading / editing,TED,MK,1,1,90.0
Web hosting / domain / SSL,TED,CY,1,1,74.0
Voice-over / narration / audio editing,TED,MDA,1,1,74.0
Small IT equipment supply,TED,SL,1,1,20.0
Web hosting / domain / SSL,TED,CH,1,1,60.0
Web hosting / domain / SSL,TED,MK,1,1,60.0
Website design / redesign,TED,MDA,1,1,88.0
Brand identity / visual identity,TED,MKD,1,1,20.0
Office / presentation equipment supply,TED,ES,1,1,20.0
Small IT equipment supply,TED,JO,1,1,70.0
Event audiovisual / livestream,TED,SWE,1,1,20.0
Annual report / publication layout,TED,FIN,1,1,60.0
Proofreading / editing,TED,SE,1,1,20.0
Document digitization / scanning,TED,MK,1,1,92.0
Transcription / minutes,TED,ME,1,1,90.0
AI chatbot / assistant,TED,ES,1,1,60.0
Copywriting / editorial content,TED,MDA,1,1,82.0
Small IT equipment supply,TED,ME,1,1,20.0
Voice-over / narration / audio editing,TED,AUT,1,1,74.0
Simple API / software integration,TED,HRV,1,1,20.0
Translation / localization,TED,FIN,1,1,70.0
Workflow automation / RPA,TED,CHE,1,1,20.0
Labels / stickers / QR materials,TED,AUT,1,1,20.0
Brochure / flyer / poster printing,TED,CY,1,1,66.0
Photography,TED,MT,1,1,92.0
Brand identity / visual identity,TED,SWE,1,1,20.0
AI chatbot / assistant,TED,PRT,1,1,82.0
CMS development / migration,TED,POL,1,1,74.0
Brand identity / visual identity,TED,IND,1,1,82.0
Digital marketing / SEO / campaigns,TED,GR,1,1,20.0
Data cleaning / deduplication,France,France,1,1,15.0
Signage / wayfinding / vinyl,TED,SVK,1,1,74.0
Microsites / campaign landing pages,Germany,Germany,1,1,82.0
Transcription / minutes,TED,SI,1,1,90.0
Document digitization / scanning,TED,BOL,1,1,92.0
Interpretation services,TED,NOR,1,1,92.0
AI chatbot / assistant,Canada federal,Canada,1,1,15.0
Video editing / post-production,Belgium,BE,1,1,
Microsites / campaign landing pages,Belgium,BE,1,1,
Illustration / infographics,TED,NO,1,1,82.0
Newsletter / magazine production,TED,ES,1,1,60.0
Digital marketing / SEO / campaigns,TED,AUT,1,1,20.0
Presentation / template design,TED,FI,1,1,82.0
Social media content production,TED,ROU,1,1,20.0
Small IT equipment supply,TED,ALB,1,1,82.0
Small IT equipment supply,TED,CY,1,1,20.0
Social media content production,TED,GRC,1,1,20.0
Video production,TenderNed,Netherlands,1,1,82.0
Data entry / back-office processing,TenderNed,Netherlands,1,1,74.0
Document conversion / PDF remediation,United Kingdom,United Kingdom,1,1,15.0
Photography,TenderNed,Netherlands,1,1,82.0
Cataloguing / indexing / metadata,Germany,Germany,1,1,15.0
Event audiovisual / livestream,TED,FI,1,1,82.0
Video editing / post-production,TED,HU,1,1,82.0
Voice-over / narration / audio editing,France,France,1,1,82.0
Small IT equipment supply,TED,JOR,1,1,70.0
AI chatbot / assistant,TED,EST,1,1,20.0
Small IT equipment supply,TED,CH,1,1,70.0
Web accessibility remediation,TED,CHE,1,1,20.0
Desk research / information collection,TED,ITA,1,1,82.0
Workflow automation / RPA,TED,LTU,1,1,74.0
Brand identity / visual identity,TED,RO,1,1,66.0
Brochure / flyer / poster printing,TED,AL,1,1,66.0
Microsites / campaign landing pages,Quebec,Canada - Quebec,1,1,82.0
Survey data processing / coding,France,France,1,1,15.0
Small IT equipment supply,TED,AT,1,1,20.0
Data entry / back-office processing,TED,TUR,1,1,82.0
Transcription / minutes,TED,HU,1,1,90.0
Social media content production,TED,AT,1,1,20.0
E-learning / training content,TED,BGR,1,1,20.0
Annual report / publication layout,TED,MLT,1,1,82.0
Photography,TED,SWE,1,1,82.0
Signage / wayfinding / vinyl,TED,ESP,1,1,20.0
Survey data processing / coding,TED,SWE,1,1,20.0
Web hosting / domain / SSL,TED,NO,1,1,20.0
Proofreading / editing,TED,SWE,1,1,20.0
Graphic design / layout,TED,CHE,1,1,20.0
Direct mail / envelope / routing,TED,UKR,1,1,82.0
Simple API / software integration,TED,NO,1,1,20.0
E-learning / training content,TED,EST,1,1,20.0
Document digitization / scanning,TED,AL,1,1,92.0
Labels / stickers / QR materials,TED,GRD,1,1,92.0
Graphic design / layout,TED,LVA,1,1,82.0
Website maintenance / content updates,TED,MK,1,1,82.0
Transcription / minutes,TED,DK,1,1,90.0
Interpretation services,TED,MQ,1,1,20.0
Simple API / software integration,TED,MK,1,1,74.0
Illustration / infographics,TED,DNK,1,1,20.0
Brand identity / visual identity,TED,LUX,1,1,20.0
Website design / redesign,TED,PHL,1,1,88.0
Transcription / minutes,TED,MT,1,1,90.0
Labels / stickers / QR materials,TED,SVK,1,1,74.0
Brochure / flyer / poster printing,TED,ALB,1,1,66.0
Event audiovisual / livestream,TED,NOR,1,1,20.0
Illustration / infographics,TED,LUX,1,1,20.0
Social media content production,TED,MKD,1,1,90.0
Social media content production,TED,NO,1,1,74.0
Signage / wayfinding / vinyl,TED,IT,1,1,82.0
Document digitization / scanning,TED,MU,1,1,92.0
Newsletter / magazine production,TED,CHE,1,1,74.0
AI chatbot / assistant,TED,SK,1,1,74.0
Brochure / flyer / poster printing,TED,HU,1,1,66.0
Data entry / back-office processing,TED,AUT,1,1,74.0
Website design / redesign,TED,ARG,1,1,88.0
Presentation / template design,TED,ROU,1,1,74.0
Website maintenance / content updates,TED,GRC,1,1,60.0
Signage / wayfinding / vinyl,TED,AUT,1,1,74.0
Office / presentation equipment supply,TED,GR,1,1,74.0
Small IT equipment supply,TED,LV,1,1,20.0
Document digitization / scanning,TED,DOM,1,1,92.0
Social media content production,TED,DNK,1,1,82.0
Online forms / lightweight portals,TED,BRB,1,1,70.0
Transcription / minutes,TED,CH,1,1,90.0
E-learning / training content,TED,SVK,1,1,82.0
Labels / stickers / QR materials,TED,ITA,1,1,74.0
Copywriting / editorial content,TED,TGO,1,1,20.0
Transcription / minutes,TED,UKR,1,1,90.0
Voice-over / narration / audio editing,TED,CHE,1,1,20.0
Translation / localization,TED,CMR,1,1,20.0
Data cleaning / deduplication,TED,IT,1,1,70.0
Translation / localization,TED,CH,1,1,20.0
Transcription / minutes,TED,SOM,1,1,90.0
Data cleaning / deduplication,Ireland,Ireland,1,1,72.0
Web hosting / domain / SSL,TED,MWI,1,1,20.0
Direct mail / envelope / routing,TED,LUX,1,1,20.0
Document digitization / scanning,TED,COD,1,1,92.0
Photography,TED,DNK,1,1,20.0
Microsites / campaign landing pages,TED,SVK,1,1,60.0
Labels / stickers / QR materials,TED,GR,1,1,20.0
Website maintenance / content updates,TED,PL,1,1,82.0
Translation / localization,TED,1A,1,1,74.0
Low-code / no-code implementation,TED,MDA,1,1,74.0
Illustration / infographics,TED,SE,1,1,82.0
Small IT equipment supply,TED,AUS,1,1,20.0
Brand identity / visual identity,TED,MK,1,1,20.0
Brand identity / visual identity,TED,ISL,1,1,82.0
Illustration / infographics,TED,SWE,1,1,82.0
Social media content production,TED,LUX,1,1,82.0
Simple API / software integration,TED,CRI,1,1,74.0
Photography,TED,MLT,1,1,82.0
Brand identity / visual identity,TED,PL,1,1,20.0
CMS development / migration,TED,LVA,1,1,60.0
Interpretation services,TED,DNK,1,1,60.0
Copywriting / editorial content,TED,GP,1,1,20.0
Online forms / lightweight portals,TED,EST,1,1,60.0
Microsites / campaign landing pages,TED,POL,1,1,20.0
E-learning / training content,TED,IT,1,1,20.0
Subtitles / captions,TED,AUT,1,1,74.0
Event audiovisual / livestream,TED,DNK,1,1,20.0
Proofreading / editing,TED,CZE,1,1,20.0
Low-code / no-code implementation,TED,IT,1,1,74.0
Brand identity / visual identity,TED,IN,1,1,82.0
Data cleaning / deduplication,TED,CHE,1,1,20.0
Presentation / template design,TED,DNK,1,1,82.0
Simple API / software integration,TED,MLT,1,1,74.0
AI chatbot / assistant,TED,LTU,1,1,60.0
Workflow automation / RPA,TED,SVK,1,1,74.0
Online survey setup,TED,LUX,1,1,82.0
Digital marketing / SEO / campaigns,TED,CZE,1,1,74.0
Office / presentation equipment supply,TED,SE,1,1,74.0
Workflow automation / RPA,TED,HU,1,1,20.0
Workflow automation / RPA,TED,GRC,1,1,20.0
AI chatbot / assistant,TED,MKD,1,1,74.0
Web hosting / domain / SSL,TED,LU,1,1,74.0
Web accessibility remediation,TED,SE,1,1,20.0
Graphic design / layout,TED,CH,1,1,82.0
Low-code / no-code implementation,TED,AT,1,1,60.0
Translation / localization,TED,ESP,1,1,20.0
CMS development / migration,TED,NOR,1,1,60.0
Online survey setup,TED,POL,1,1,74.0
Social media content production,TED,TUR,1,1,82.0
E-learning / training content,TED,CZE,1,1,20.0
Simple API / software integration,TED,ESP,1,1,82.0
Labels / stickers / QR materials,TED,ISL,1,1,20.0
Document digitization / scanning,TED,SK,1,1,92.0
Presentation / template design,TED,CHE,1,1,20.0
Social media content production,TED,LTU,1,1,82.0
Promotional merchandise / branded items,TED,ITA,1,1,20.0
Small IT equipment supply,TED,BG,1,1,20.0
Graphic design / layout,TED,MLT,1,1,82.0
Website maintenance / content updates,TED,MUS,1,1,82.0
Transcription / minutes,TED,LU,1,1,90.0
Signage / wayfinding / vinyl,TED,CZE,1,1,20.0
Document digitization / scanning,TED,FJI,1,1,92.0
Small IT equipment supply,TED,ZA,1,1,70.0
Small IT equipment supply,TED,TR,1,1,60.0
Simple API / software integration,TED,PRT,1,1,74.0
Office / presentation equipment supply,TED,CY,1,1,20.0
Simple API / software integration,TED,SK,1,1,20.0
Simple API / software integration,TED,GR,1,1,70.0
Digital marketing / SEO / campaigns,TED,GRC,1,1,20.0
Annual report / publication layout,TED,LTU,1,1,82.0
Transcription / minutes,TED,BG,1,1,90.0
CMS development / migration,TED,SE,1,1,20.0
Simple API / software integration,TED,LTU,1,1,74.0
Web hosting / domain / SSL,TED,CYP,1,1,74.0
Presentation / template design,France,France,1,1,74.0
Presentation / template design,Quebec,Canada - Quebec,1,1,82.0
Animation / motion design,United Kingdom,United Kingdom,1,1,15.0
Event audiovisual / livestream,United Kingdom,United Kingdom,1,1,80.0
Data entry / back-office processing,Germany,Germany,1,1,60.0
Subtitles / captions,TED,FIN,1,1,82.0
E-learning / training content,TED,AT,1,1,20.0
Presentation / template design,TED,BGR,1,1,20.0
Online forms / lightweight portals,TED,CH,1,1,20.0
Voice-over / narration / audio editing,TED,RO,1,1,82.0
Online forms / lightweight portals,TED,LT,1,1,20.0
Video editing / post-production,TED,POL,1,1,20.0
E-learning / training content,TED,FI,1,1,74.0
Digital marketing / SEO / campaigns,TED,NO,1,1,74.0
Document digitization / scanning,TED,GRD,1,1,92.0
Desk research / information collection,TED,DNK,1,1,82.0
Digital marketing / SEO / campaigns,TED,CZ,1,1,20.0
Simple API / software integration,TED,SRB,1,1,82.0
Annual report / publication layout,TenderNed,Netherlands,1,1,70.0
Signage / wayfinding / vinyl,TED,MT,1,1,82.0
Promotional merchandise / branded items,TED,HUN,1,1,82.0
Voice-over / narration / audio editing,TED,CZE,1,1,20.0
Online forms / lightweight portals,TED,CY,1,1,60.0
Transcription / minutes,TED,SRB,1,1,90.0
Event audiovisual / livestream,TED,SK,1,1,82.0
